id,ushio,kageyama,katou,saitou,sasaki_kumi,sasaki_mirei,takase,takamoto,higashimura,kanemura,kawata,kosaka,tomita,nibu,hamagishi,matuda,miyata,watanabe,kamimura,takahashi,morimoto,yamaguchi
117,,,,,2,,,,,,,,,,,,,1,,,,
118,,1,,2,,,,,,,,,,,,,,,,,,
119,,,,,,2,,,,,,,1,,,,,,,,,
120,,,2,,,,,,,,,,1,,,,,,,,,
121,,,,,,,,,,,,,,,,,2,1,,,,
122,2,,,,,,1,,,,,,,,,,,,,,,
123,,1,,,,,,,,,,,,,,,,,,,,2
124,,,,,1,,,2,,,,,,,,,,,,,,
125,1,,2,,,,,,2,,2,,,,,,,,,,,
126,1,,,,,,,,,,,2,,,,,2,,,,,
127,,2,,1,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,1,,2,
129,,,,,,2,,,,,1,,,,2,,,,,,,
130,,,,,,,,,,,,,,,,1,,2,,,,
131,2,,2,,2,,,,1,,,,2,,,2,,,,,,
132,1,,,,,,,,,2,,,,2,,,,,,,,
133,1,,,,,,,,,,,,,,,2,,,,,,
134,,,,,,,,,,,,2,,1,,,,,,,,
135,,,,,,,,1,2,,,,,,,,,,,,,
136,,,,,,,,,,1,,,,2,,,,,,,,
137,,,,,,,1,,,,2,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,2,1,
139,,1,,2,,,,,,,,,,,,,,,,,,
140,,,,1,,,,2,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,1,,,2
142,,,2,,,,,,,,,,,,,,,1,,,,
143,1,,,,,,2,,,,,,,,,,,,,,,
144,1,,,,2,,,,,,,,,,,,,,,,,
145,1,,,,,,,,,2,,,,,,,,,,,,
146,2,,,,,,,,,,,,,1,,,,,,,,
147,,,,,,,,,,,,,,1,,2,,,,,,
148,,,,,,,,,,,,,,,,,1,2,,,,
149,,,,,1,,,,2,,,,,,,,,,,,,
150,1,,,,,,,,,,,,,,,,,,2,,,
151,,2,,,,,,,,,,,,,,,,,,,1,
152,,,,,,,,,,,,,,1,,,2,,,,,
153,,,,,,2,,,,,,,,,,1,,,,,,
154,1,,,,,,,,,,,,,2,,2,,,,,,
155,,,,2,,,1,,,,,,,,,,,,,,,
156,,,,,2,,,2,,,,,,,,1,,,,,,
157,,,,,,,,,,2,,,1,,,,,,,,,
158,,,,,,,,,,1,,2,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,1,,2
160,1,,,,,,2,,,,,,,,,,,,,,,
161,,,,,,,,,,1,,,,,2,,,,,,,
162,2,,,,1,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,1,,,2,,,,,,
164,,,,,,,,,,2,,,,2,,1,,2,,,,
165,,,,2,,,,,2,,,,,1,,,,,,,,
166,,,,,,2,,,,,,,,,,,,1,,,,
167,,,,,,,,,,,2,,,,,,1,,,2,,
168,,,,,,,,,,,,,1,,,2,,2,,,,
169,,,,,,,,,,2,,2,,,,,,,1,,,
170,,,2,,,,,,,1,,,,,,,,,,,,
171,,,,2,,,,1,,,,,,,,,,,,,,
172,,,,,,,,,,1,,,2,2,,2,,2,,,,
173,1,2,,,,,,,,,,,,,,,,,,,,
174,2,,,,,,,,,,,,,1,,,,,,,,
175,,1,,2,,,,,,,,,,,,,,,,,,
176,,,2,,1,,,,,,,,,,,,,,,,,
177,,,,,,,,,,1,,,,,,,,,2,,,
178,1,,,,,,,,,,,,,2,,,2,,,,,
179,,1,,,,,,,,,,,,,,,,2,,,,
180,,,,,,,,,,,,2,,,,2,1,,,,,
181,,,,,1,,,,2,,,,,,,,,,,,,
182,,,,,,,,,,2,,1,,,,,,,,,,
183,,,2,,,,,,,,,2,,1,,,,,,,,
184,,,2,2,1,2,2,2,2,2,2,,2,2,,2,2,,,,,
185,,,,,,,,,1,,2,,,,,,,,,,,
186,,,,,,,,,,1,,,,2,,,,,,,,
187,,,,,,,,,,2,,,,,,1,,,,,,
188,,,,,,,,,,,,2,,1,,,,,,,,
189,,,2,,1,,,,,,,,,,,,,,,,,
190,1,,,,,,,,2,,,,,,,,,,,,,
191,,,,,1,,,,,,,,,,,2,,,,,,
192,,,,,,,,,,,,,,,,,,,2,1,,
193,,,2,,,,,,,,,,,1,,,,2,,,,
194,,,,,2,,,,,2,,1,,,,,,,,,,
195,,,,1,,,,,2,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,,,,,1,2,
197,2,,1,,,,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,2,,,,1,,,,,,
199,,,,,,,,,,,,,,1,,,2,,,,,
200,,,,,,1,,2,,,,,,,,,,,,,,
201,,,1,2,,2,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,1,2,,,,,,,,
203,,,,,,,,,,,2,1,,,,,,,,,,
204,,,,,,,,,,,,2,,1,,,,,,,,
205,,,,,,,,,,,,,,1,2,,,,,,,
206,,,,,2,,,,,,,,,,,,,2,,,,1
207,,,,,,,,,,,,,,,,,,,2,,1,
208,,,,,,,,,,1,,,,2,,,,,,,,
209,,,,2,,1,,,,,,,,,,,,,,,,
210,,,,,,,,,,,,2,,,,,1,2,,,,
211,,,,,,,,,,,,,,,,,,,2,1,,
212,,,,,,,,,,,2,,2,1,,,,,,,,
213,,,2,1,,,,2,,,,,,,,,,,,,,
214,,,,2,1,,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,2,,,,,1,,,,,
216,,,,,,,,,,,,,,,,,,,2,,,1
217,,,,2,,1,,,,,,,,,,,,,,,,
218,,,,,,,,,1,,2,,,,,2,,,,,,
219,,,,,,,,,,,1,,,2,,,,,,,,
