id,ushio,kageyama,katou,saitou,sasaki_kumi,sasaki_mirei,takase,takamoto,higashimura,kanemura,kawata,kosaka,tomita,nibu,hamagishi,matuda,miyata,watanabe,kamimura,takahashi,morimoto,yamaguchi
504,1,,,2,,,,,2,,,,,2,,,,,,,,
505,,,,,,,2,,,,,,,,,,,,2,,,1
506,1,,,,,,,,,2,2,,,,,,,,,,,
507,,,,,1,,,,,,,,,,,,,2,,,,
508,2,,,,2,,,,,2,,2,2,1,,2,2,2,2,,,
509,,,2,,,,,,,,,1,,,,,,,,,,
510,,,,,,,,,,,,,,1,,,,2,,,,
511,,,,,2,,,,,,,2,,,,2,,2,1,,,
512,,,,1,,,,2,2,,,,,,,,,,,,,
513,,2,,,,,,,,,,,,1,,,,,,,,
514,,,,,,,,,,2,,1,,2,,,,,,,,
515,,,,1,,,,,,,,2,,,,,,,,,,
516,,,1,2,,,,,,,,,,,,,,,,,,
517,,,1,,,2,,,,,,,,,,,,,,,,
518,,,,,,,1,,,,,,,,,,,,2,,,
519,1,,,,,,,,,,,,,,,,,2,,,,
520,,,,,,,,,,,,,,,2,1,,,,,,
521,1,,,,,,,,,,,2,,,,,,,,,,
522,,,,,,,,,,,,,,,,,,,,,2,1
523,,,,,1,,,2,,,,,,,,,,,,,,
524,1,,,,,,,,,,,,,,2,,,,2,,,
525,1,,,,,,,,,,,,,,,,,2,,,,
526,,,2,,,,,,,,,,,,,,,,,1,,
527,,,,,2,,,,,,,,,1,,,,,,,,
528,2,,,,,,1,,,2,,2,,,,,,2,,,,
529,,,,,,,,,,2,,1,,,,,,,,,,
530,,,,,,,,,,,,,,1,,,2,2,,,,
531,,,,,,,,,,,2,,,,1,,,,,,,
532,1,,,,,,,,,,,,2,,,,,,,,,
533,1,,2,,,,,,,,,,,,,,,,,,,
534,,,,,1,,,,,,,,,,,,,,,2,,
535,,,,,,,,,,1,,,,,2,,,,,,,
536,,,,,1,,,,,,,,2,,,,,,2,,,
537,,,,,,,,,,,,,,1,,,,,,,2,
538,,,,,,,,,,,1,,,2,,,,2,,,,
539,,,,,,,1,,,,,2,,,,,2,,,,,
540,1,,,,,2,2,,,,,,,,,,,,,,,
541,,,,,,,1,,,2,,,,2,,,,,,,,
542,,,,,1,,,,,,,,,,,,,,2,,,
543,2,,,,,,,2,,,1,,,,,,,,,,,
544,,,,2,,,,1,,,,,,,,,,,,,,
545,,,,,,,,,,,,,,,,1,,,2,2,2,
546,,,2,,1,,,,,,,,,,,,,,,,,
547,2,,,,,1,,,,,,,,2,,,,,,,,
548,,,,,,,,,,,1,,,,,2,,,,,,
549,,1,,,,,,,,,,,,,,,,,,,2,
550,,,,,2,,,,,,,,,,,,,,1,,,
551,,,,,,,2,,,,,,,,,,1,,,,,
552,2,,,,,,,,,,,,,,2,,,,1,,,
553,,,,,1,,,,,,2,,,,,,,,,,,
554,1,2,2,2,2,2,2,2,2,,,,,,,,,,,,,
555,2,,,1,,,,,,,,,,2,,,,2,,,,
556,,,,,,2,,,,,2,,,,,1,,,,,,
557,,,,,,,,,2,,,,,,,1,,,,,,
558,,,,,2,,,,2,,,,,,,1,,,,,,
559,,,,,,,,,,1,,2,,,,,,,,,,
560,,,,2,,2,1,,,,,,,,,,,,,,,
561,1,,,,,,,,2,2,,,,,,,,,,,,
562,,,,,,,,,,,,2,1,,,,,,,,,
563,2,,,,2,1,,,,,,,,,,,,,,,,
564,2,,,,2,,,,2,1,,,,2,,,,,,,,
565,,,,,,2,,,,,1,,,,,,,,,,,
566,,,,,,1,,2,,,,2,,2,,,,,,,,
567,,,,,,,,,,2,,,,1,,,,,,,,
568,,,,2,,,,1,,,,,,,,,,,,,,2
569,1,,,,,,,,2,,,,,,,,,,,,,
570,,,,,1,,,,,,,,2,,,,,,,,,
571,,,,,2,,,,,,,,,,,,,1,,,,
572,,,2,,,,,,1,,,,,,,,,,,,,
573,,,,,,,,,,,,2,,,,,1,,,,,
574,,,,,,,,,,,2,,,,,,1,,,,,
575,,,,,,,,,,,,2,,1,,,,,,,,
576,,,,,,,,,,2,,,,1,,,,,,,,
577,1,,2,,2,,,,2,,,,,,,,,,,,,
578,,,,,,,,,,,2,,1,,,,,,,,,
579,,,,,,,,,,,,2,,1,,,,,,,,
580,,,,,,,,,,,2,,,2,,1,,,,,,
581,,,,,,,1,2,,,,,,,,,,,,,,
582,,1,,,,,2,,,,,,,,,,,,,,,
583,,,,,,,,,,,,,,,1,,,2,,,,
584,,,,,,,,,,,2,,1,,,,,,,,,
585,,,,,,,,,,,,2,,1,,,,2,,,,
586,,,2,,1,,,,,,,,,,,,,,2,,,
587,,,,,,,,,,,,,,,,,,,1,,,2
588,,,,1,,2,,2,,2,,,,2,,,,,,,,
589,,,,,,,,,,,,,,,,,,,,2,2,1
590,,,,,,,,,,,2,,2,,1,2,,,,,,
591,,,,2,1,,,,,,,,,,,,,,,,,
592,,,,,,2,,,,,,,,,,1,,,,,,
593,1,2,,2,,,2,2,,,,,,,,,,,,,,
594,,1,,2,,,,,,,,,,,,,,,,,,
595,,,,,,,,,,,1,,,,2,,,,2,,,
596,,,,,,,,,2,,,,,,,1,,,,,,
597,,,,,,2,,,,,,,,,,,,,1,,,
598,,,,,,,,,,1,,,,,2,2,,,,,,
599,1,2,,2,,2,,,,,,,,,,,,,,,,
600,,,,,,,,,,,2,,1,,,,,,,,,
601,,,,,2,1,,,,,,,,,,,,,2,,,
602,,,,,,,,,,2,,,,,,,2,,1,,,
603,,1,,,,,,,,,,,,,,,,,,2,,
604,,,1,,2,,,,,,2,,,,,,,,,,,
605,,1,,,,,,,,,,,,,2,,,,,,,
606,,,,2,,1,,,,,,,,,,,,,,,,
607,2,,,1,,,2,,,,,,,,,,,,,,,
608,,,,,,,,,,,1,,2,,,2,,,,,,
609,,,,,,,,,,1,2,,,,,,,,,,,
610,1,2,,,,,,,,,,,,,,,,,,,,
611,2,,,,,,,,,,,,,1,,,,,,,,
612,,1,,,,,,,,,,,,,,,2,,,,,
613,,,,,,,,,,,,,,,,1,,2,,,,
614,,,,,1,,,,2,,,,,,,,,,,,,
615,,,,,,,,,1,,,,,,,2,,,,,,
616,,,,,,,1,,,,,,,,,,,,2,,,
617,,,,,,2,,1,,2,2,,,2,2,,,,,,,2
618,,,,,,,,,,,,,,2,,,1,,,,,
619,,,,,,,,,,,1,,2,,,2,,2,,,,
620,,,,,,2,1,,,,,,,,,,,,,,,
621,1,,,,,,,,,2,,2,,,,,,,,,,
622,,,,,1,,,,2,,,,,,,,,,,,,
623,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2
624,,1,,,,,,,,,2,,,,,,,,,,,
625,,,,,,,,,,,,2,,,,,,1,,,,
626,,,,,,,,,,2,,,,,,,,,1,,,
627,,,,1,,,,2,2,,,,,,,,,,,,,
628,,,,,,,,,,,,,,1,,,,,2,,,
629,,,2,,2,2,,1,,,,,2,,,2,2,,,,,
630,,,,,,,,,,2,,2,,1,,2,2,2,,,,
631,,,2,,2,2,,2,1,,,,,,,,,,,,,
632,,1,,,,,,,,,,2,,,,,,,,,,
